sample	Depth (mbsf)	T	pH	Alkalinity (mM)	Salinity	SO42- (mM)	PO43- (uM)	H2S (uM)	NH4+ (mM)	Mg2+ (mM)	Ba2+ (uM)	CH4 (mM)	H2 (nM)	CO (nM)	DOC (mM)	DIC (mM)	CaCO3 (wt%)	TOC (wt%)	TN (wt%)	TOC/TN
U1546B_1H2	0.8	2.8	8	5.1	35	27.7	12.4	428	0.7	51.1	0.9	0	42	665	21.8	2.2	8.2	4.4	NA	9.7
U1545B_1H2	1.7	5.3	8	6	35	26.9	33.9	44.1	0.5	53.1	0	0	56	360	24.2	2.4	0.1	4.9	0.6	9.3
U1547B_1H2	2.1	14.2	7.7	3	34.5	27.9	16.5	67.7	0.1	52.2	0.1	0	35	350	13.9	1.2	11	3.8	0.4	9.7
U1547B_1H3	3.6	14.2	7.7	3	34.5	27.9	16.5	67.7	0.1	52.2	0.1	0	35	350	13.9	1.2	11	3.8	0.4	9.7
U1545B_2H3	6.8	6.4	8.3	6.9	35	26.3	36.4	1220.5	0.5	53.6	0	0	48	367	24.2	2.4	12.4	4	0.6	7.4
U1547B_2H2	8.6	17.4	8	5.3	34.1	26.8	22.8	759.1	0.3	52.9	0.1	0	46	427	14.7	1.2	3	3.5	0.3	14
U1548B_2H3	9.1	13.8	8	4.8	35	26.8	24.5	732.5	0.3	52.8	0.1	0	29	554	13.1	1.4	12	2.4	0.2	12.9
U1547B_2H3	10.1	17.4	8	5.3	34.1	26.8	22.8	759.1	0.3	52.9	0.1	0	46	427	14.7	1.2	3	3.5	0.3	14
U1546B_3H2	16.3	6.2	8.1	7.3	35.9	26.7	28.7	1226.6	0.3	50.7	1.4	0	29	260	21	2.5	1.5	2.1	NA	7.4
U1549B_3H2	16.5	6.4	7.8	18.7	35	17.5	98.1	NA	3.3	50.2	0.2	0	84	188	23.6	5.7	4	0.4	0.3	1.7
U1547B_3H3	19.1	22	8	7.8	35	26.1	33.3	1538	0.6	52.6	0.1	0	35	252	14.6	1.5	5	2.1	0.3	9.4
U1545B_4H2	25.8	10.7	8.3	21	35	21.1	51	6068.1	5.3	54.1	0	0	41	189	25.7	7.6	10.3	2.4	0.4	7.4
U1545B_4H3	26.9	10.7	8.3	21	35	21.1	51	6068.1	5.3	54.1	0	0	30	254	25.7	7.6	10.3	2.4	0.4	7.4
U1548B_4H7	33.3	33.3	8.1	9.5	35	25.4	18.6	1913.1	0.6	52.5	0.1	0	26	303	9.4	1.2	9	1.9	0.2	10.3
U1547B_5H2	36.8	31.8	7.8	14.5	35	23.3	24.7	3725.5	1.5	53.7	0.1	0	34	197	14.3	1.8	7	2.6	0.3	10.5
U1547B_5H3	38.3	31.8	7.8	14.5	35	23.3	24.7	3725.5	1.5	53.7	0.1	0	34	197	14.3	1.8	7	2.6	0.3	10.5
U1547B_7H3	57.3	44.6	7.4	13.3	34.1	21.1	27	5110.2	2.6	49.5	0.1	0	71	83	23.3	1.5	5	2	0.3	9
U1545B_8H3	63.8	18.9	7.9	59.5	35.9	0.7	78.3	8947.2	9.2	54	68.9	1.5	38	174	73.2	27.9	0.3	2.7	0.3	9.4
U1547B_8H2	65.7	46.6	7.7	13	34.1	20.2	25.4	6606	2.9	51	0.1	0	55	91	23.3	1.5	4	1.2	0.1	9.5
U1548B_8H5	69.4	62.4	7.7	13	34.1	20.2	25.4	6606	2.9	51	0	0	48	51	1.5	0.2	1	1.6	0.2	9
U1547B_9H2	74.2	51	7.5	13.7	34.1	18.8	28	7150.9	3.7	48.3	0.1	0	35	54	15	1.9	0.1	2.2	0.3	10
U1547B_9H3	75.7	51	7.5	13.7	34.1	18.8	28	7150.9	3.7	48.3	0.1	0	35	54	15	1.9	0.1	2.2	0.3	10
U1545B_13H4	112.5	29.9	7.5	40.4	34.1	0.4	77.1	1891.2	15.1	37.7	101.6	1.2	23	161	52.3	14.1	9	2	0.3	8
U1545B_19F3	154.2	39.6	7.9	35.3	34.1	0.3	46.9	3.2	15.9	33	101.7	1.9	39	116	48.2	10.7	9.5	2.2	0.3	7.5
U1545B_32F3	211.1	52.3	7.5	28.5	34.1	0.3	16.2	0	23.9	24.2	106.2	0.4	36	160	50.7	4.8	11	1.7	0.3	7.3
U1545B_34F3	219.4	54.2	7.5	26.7	34.1	0.2	12.2	0	25.6	23.4	108.5	0.6	47	168	40.9	3	5.7	2.4	0.4	7
