Genome	1545B_19F_3_S6_paired_1.fastq.gz TPM
MAG_155	13.066179
MAG_193	66.61486
MAG_249	12003.468
MAG_121	29.262877
280	1.7445414
MAG_199	4.026465
MAG_51	279.53564
MAG_18	2.939704
2	28.099997
maxbin2.0181_sub	3908.799
MAG_284	5.916336
MAG_278	38.27661
284_sub	1.87581
MAG_162	4.9875975
44_sub	32.316288
102_sub	8.043079
MAG_53	2187.9324
MAG_229	11.83331
MAG_289	9.977427
MAG_222_sub	7.4690704
MAG_315	15.152857
4_sub	32.538918
MAG_128	13.748208
MAG_172	9.108703
27	46.24246
MAG_33	709.075
58	4.097552
142_sub	12.767215
MAG_294	102.25589
MAG_74	31.905514
145	16660.795
MAG_114	1.428923
MAG_130	13.233394
67	1991.9365
MAG_37	4755.4634
MAG_148	74.19605
MAG_305	25.70562
MAG_313	311.56482
maxbin2.0025_sub	5154.9175
107_sub	31.719053
MAG_200	18.41267
MAG_319	110.78886
158_sub	245.12794
MAG_13	4.312226
MAG_45	38628.086
76	13.633026
MAG_307	1994.9651
MAG_236	29.205164
245_sub	26.566612
MAG_149_sub	4.973036
119_sub	1277.2689
MAG_334	249.37027
MAG_119	5.367496
275_sub	729.8177
MAG_140	30.695759
288_sub	16.323692
112_sub	46029.465
MAG_164	60.84163
MAG_326	129.00038
MAG_92	18.044659
MAG_144	34.65531
117_sub	159150.94
MAG_292	97080.95
MAG_217_sub	278.44055
52_sub	10.428638
MAG_306	7486.9614
81_sub	43494.32
MAG_234	11.230382
MAG_332_sub	3.3239586
163	10.823754
MAG_24	14.412727
243_sub	1.9815753
MAG_269_sub	65.8173
MAG_346	242.6555
MAG_214	16.606928
287_sub	31375.1
MAG_216	139.93341
MAG_300_sub	2.5402517
45_sub	9982.805
MAG_244	16.731417
MAG_273_sub	63.850994
MAG_126	405.23178
MAG_280_sub	14.063143
MAG_226	10.426768
MAG_29	76291.3
123_sub	329.99606
170_sub	11.123705
MAG_63	23.205137
MAG_263	62.6895
259_sub	19.25106
MAG_202	399.9586
MAG_321	14.724644
169_sub	8.558294
MAG_42_sub	1.7301219
223_sub	8.581767
MAG_133	38.64745
31_sub	13.473476
26_sub	31.982346
73_sub	26.678988
MAG_80_sub	92.41804
270_sub	3.1922054
MAG_224	195.04613
103_sub	89.116905
184_sub	10.424809
MAG_247	5.897971
MAG_12	16.620317
MAG_39	5.1143255
53_sub	11.655986
244_sub	169726.6
174	15.31344
MAG_171	879.93787
138_sub	379.7248
MAG_316	13.864154
190	119.43689
MAG_117	9.283193
MAG_108	100.791794
131_sub	5.5051737
MAG_58	28.234364
97_sub	16.78177
MAG_134	5.749374
273_sub	76.13266
MAG_56_sub	4.9423037
MAG_206	11.231881
MAG_153_sub	92228.945
MAG_116	445.5586
MAG_95	12.759011
MAG_235	20.367367
MAG_330	5224.399
MAG_341	160679.22
16_sub	5.356747
MAG_94	54.46246
MAG_210	214.83904
MAG_46	136.09807
MAG_314	10.910114
MAG_142	15.266096
MAG_141	32.870556
MAG_277	12.105949
238_sub	218.73814
MAG_328	1009.5221
289	148.80017
127_sub	40.15297
MAG_327_sub	2204.1096
